Alerta Apocalipse,2026,6.1/10,"When a highly dangerous fungus escapes from a secret laboratory, a former bioterrorism agent is called back into action. Alongside two young employees, he must confront an invisible and out-... Read all"
"Cara de Um, Focinho de Outro",2026,7.7/10,A 19-year-old animal lover uses technology that places her consciousness into a robotic beaver to uncover mysteries within the animal world beyond her imagination.
O Refúgio,2026,5.8/10,A Caribbean woman gets her secret past revealed when her island is invaded by vicious buccaneers.
Marty Supreme,2025,7.8/10,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness."
O Morro dos Ventos Uivantes,2026,6.3/10,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw."
Hamnet: A Vida Antes de Hamlet,2025,7.9/10,"After losing their son Hamnet to plague, Agnes and William Shakespeare grapple with grief in 16th-century England. A healer, Agnes must find strength to care for her surviving children while... Read all"
Peaky Blinders: O Homem Imortal,2026,7.7/10,"During World War II, Tommy Shelby returns to a bombed Birmingham and becomes involved in secret wartime missions based on true events, facing new threats as he reckons with his past and risi... Read all"
Uma Batalha Após a Outra,2025,7.7/10,"When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own."
A Noiva!,2026,5.9/10,"In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change."
Máquina de Guerra,2026,6.4/10,Follow the final recruits of a grueling special ops boot camp who encounter a mysterious deadly force.
Pecadores,2025,7.5/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Pânico 7,2026,5.9/10,"When a new Ghostface killer emerges in the town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target."
A Empregada,2025,6.8/10,"A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own."
O Agente Secreto,2025,7.3/10,"In 1977, a technology expert flees from a mysterious past and returns to his hometown of Recife in search of peace. He soon realizes that the city is far from being the refuge he seeks."
Nuremberg,2025,7.4/10,"A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring."
Missão Refúgio,2026,6.2/10,"Michael Mason is a recluse on a remote Scottish island who rescues a girl from the sea, unleashing a perilous sequence of events that culminate in an attack on his home, compelling him to fa... Read all"
Bugonia,2025,7.4/10,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth."
O Som da Morte,2025,5.3/10,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will s... Read all"
Em Um Piscar De Olhos,2026,6.1/10,"Three storylines, spanning thousands of years, intersect and reflect on hope, connection and the circle of life."
Jurassic World: Recomeço,2025,5.8/10,"Five years post-Jurassic World: Domínio (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthr... Read all"
Um Cabra Bom de Bola,2026,6.9/10,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the ... Read all"
Caminhos do Crime,2026,7.1/10,"An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart th... Read all"
Sonhos de Trem,2025,7.5/10,"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-... Read all"
Valor Sentimental,2025,7.8/10,"An intimate exploration of family, memories, and the reconciliatory power of art."
